paperid,originalaffiliation
32875093,"Center for Mathematical Modeling UMI-CNRS 2807, University of Chile, Chile and Center for Genome Regulation, University of Chile, Chile#TAB#"
32875093,"CNRS UMR 6074, IRISA Project Dyliss, Université de Rennes 1, France and Centre Rennes-Bretagne-Atlantique, Project Dyliss, INRIA, Rennes, France#TAB#"
33116912,"Computer Vision Center, Univ. Autònoma de Barcelona, Barcelona, Spain#TAB#"
33116912,"Courant Institute of Mathematical Sciences, New York University, New York, NY#TAB#"
33116912,"Courant Institute of Mathematical Sciences, New York University, New York, NY, USA,Computer Vision Center, Univ. Autònoma de Barcelona, Barcelona, Spain#TAB#"
33116912,"Faculty of Science, University of Amsterdam, Amsterdam, The Netherlands,Computer Vision Center, Univ. Autònoma de Barcelona, Barcelona, Spain#TAB#"
33657587,"School of Information Engineering, University of Science and Technology Beijing, Beijing,"
33657587,"The Department of Automatic Control, Beijing Institute of Technology, Beijing,"
33719127,Indian Institute of Technology
33923346,"China Agricultural University, Beijing, China"
33923346,"Hebei Agricultural University, Baoding, China"
34143893,Simon Fraser University
35471992,"Departamento de Informática, PUC-Rio, Brazil#TAB#"
35652526,"Centro de Investigación en Matemáticas, Guanajuato, GTO, México#TAB#"
35663053,Carnegie Mellon University
35663053,China University of Petroleum
35663053,Purdue University
35663053,Tsinghua University
35688032,"IBM India Research Lab, India#TAB#"
35688032,"Indian Institute of Science, India#TAB#"
36099555,"SisInfLab, Politecnico di Bari, Bari, Italy and Universitá di Bari, Bari, Italy#TAB#"
36099555,"SisInfLab, Politecnico di Bari, Bari, Italy#TAB#"
37220738,University of Rome “La Sapienza”
37295926,"CVMLab, University of Geneva, Switzerland#TAB#"
37913093,Shandong Agricultural University
38108003,"Aston University, Birmingham, UK#TAB#"
38108003,"Toshiba Research Europe Ltd., Cambridge, UK#TAB#"
38308850,"Department of Computer Science, Universidad Central Marta Abreu of Las Villas, Cuba#TAB#"
38308850,"Department of Computer Science, University of Ciego de Ávila, Cuba#TAB#"
38369095,University of Campinas – UNICAMP
38451654,"Lomonosov Moscow State University, Faculty of Mechanics and Mathematics, Department of Computational Mathematics, Moscow, Russian Federation#TAB#"
38544109,University of Nebraska
38799423,University of Patras
38930112,Politehnica University of Bucharest
38930112,Univ. Grenoble Alpes
38986720,"Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India"
39303283,University of Cincinnati
39340353,"Petroleum-Gas University of Ploiesti#R##N#Computer Science Department#R##N#no. 39 Bd. Bucuresti, Ploiesti, Romania"
39351685,"Aalto University School of Science, Espoo, Finland#TAB#"
39464615,Badan Koordinasi Survei dan Pemetaan Nasional (BAKOSURTANAL)
39611991,"Department of Computer Science and Engineering, University of Notre Dame, Indiana#TAB#"
39611991,"Department of Mathematics and Computing Science, Saint Mary's University, Halifax, Nova Scotia, Canada#TAB#"
39748431,China Agriculture University
40003570,"Center for Visual Computing, École Centrale Paris, France and Équipe Galen, INRIA Saclay, île-de-France, France#TAB#"
40003570,"Gatsby Computational Neuroscience Unit, University College London, UK#TAB#"
40228083,"Faculty of Business and Economics, University of Lausanne, Switzerland,Faculty of Psychology, University of Basel, Switzerland#TAB#"
40228083,"Faculty of Business and Economics, University of Lausanne, Switzerland#TAB#"
40228083,"Faculty of Psychology, University of Basel, Switzerland#TAB#"
40232479,"Université de Lyon, CNRS, INSA-Lyon, LIRIS, UMR5205"
40232479,"Université de Lyon, CNRS, Université Lyon 1, LIRIS, UMR5205"
40836645,National Chung Cheng University
40836645,Providence University
40946414,"Key laboratory of Modern Precision Agriculture System Integration Research, Ministry of Education, China Agriculture University, Beijing, China"
40978630,"Katholieke Universiteit Leuven, Belgium#TAB#"
41050949,Technische Universität Wien
41229631,"University of Exeter, UK#TAB#"
41316518,Bournemouth University
41316518,Queen’s University Belfast
41506415,University of Birmingham
41967594,University of Louisville
42114058,LEAR Team – INRIA Grenoble
42114058,Xerox Research Centre Europe
42589800,Università degli Studi di Milano
42726991,"Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA#TAB#"
42787134,"Hunan Institute of Science and Technology, Yueyang, Hunan, China#TAB#"
42902224,"Science of College, China Agriculture University, Beijing, China"
42995209,Universidad de Valladolid
42995209,Universitat d’Alacant
43139521,"INRIA Sophia Antipolis, Sophia Antipolis Cedex, France#TAB#"
